Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2015,8/14/15,EQUINE DEATH,Saratoga Racecourse (NYRA),After start,Racing,Thoroughbred,80* Cloudy,On a Snowy Evening,ABIGAIL C. ADSIT,FERNANDO JARA,On a Snowy Evening-Tr. Abigail C. Adsit-pulled up-fx LF sesamoid-sedated-splinted-ambulanced off-euthanized (Cross Ref. with 378.15),Equine Death
2016,7/9/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,top of stretch,Racing,Thoroughbred,Cloudy/79,Mary's Legacy,JEFFREY S. ENGLEHART,OSCAR D. GOMEZ,Mary's Legacy-Tr. Jeffrey Englehart-pulled up-fx RF sesamoids-euthanized on track-investigation continues,Equine Death
2016,7/14/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/4 Pole,Racing,Thoroughbred,Clear / Sunny 80's,Futurazo,JEFFREY S. ENGLEHART,JOHN R. DAVILA,Futurazo-Tr. J. Englehart-pulled up-fx RF sesamoid-euthanizied on track-investigation continues,Euthanasia
2016,2/7/16,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred, ,ALYSARO,DAVID JACOBSON,IRAD ORTIZ JR,Alysaro-Tr. David Jacobson-pulled up-ambulanced off-fx left front leg-euthanized,Equine Death
2016,6/17/16,EQUINE DEATH,Belmont Park (NYRA),3/4 pole,Racing,Thoroughbred,Sunny; Clear,Bonita Luna,OSCAR S. BARRERA III,ERIC CANCEL,Bonita Luna-Tr. Oscar S. Barrera-pulled up-splint applied-ambulanced off-fx LF leg fracture-euthanized,Equine Death
2016,9/3/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,Private Thrill,AMBER R. COBB,JAIME RODRIGUEZ,Private Thrill-Tr. Amber Cobb-after race trainer noticed sore RF foot-xrays revealed fx RF sesamoid-euthanized,Equine Death
2016,9/17/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Stretch,Racing,Thoroughbred, ,Sgt. Major Ross,PATRICK J. BARATTA,SAMUEL MORALES,Sgt. Major Ross-Tr. Samuel Morales-pulled up in the stretch-DNF-splint applied-medicated-vanned off-fx LF sesamoids-euthanized,Equine Death
2015,8/20/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,vicinity of 1/4 pole,Racing,Thoroughbred,Cloudy 80's,Mondor,RAFAEL A. RAMOS,OSCAR D. GOMEZ,Mondor-Tr. Rafael Ramos-fell unseating Jockey  Oscar Gomez-horse fx LF leg-euthanized on track-jockey trasported to hospital,Equine Death
2015,8/20/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,vicinity of 1/4 pole,Racing,Thoroughbred,Cloudy 80's,Mondor,RAFAEL A. RAMOS,OSCAR D. GOMEZ,Mondor-Tr. Rafael Ramos-fell unseating Jockey  Oscar Gomez-horse fx LF leg-euthanized on track-jockey trasported to hospital,Equine Death
2016,8/22/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/4 pole,Racing,Thoroughbred,Clear/70,Git On Bob,PABLO R. TORRES,JORGE L. TOLEDO,Git On Bob-Tr. Pablo Torres-eased-pulled up-collapsed and died-investigation continues,Equine Death
2016,8/25/16,EQUINE DEATH,Saratoga Racecourse (NYRA),1/4 pole,Racing,Thoroughbred,Overcast,Ring of Truth,NIALL S. SAVILLE,JUNIOR R. ALVARADO,Ring of Truth-Tr. Niall Saville-fell-unseating rider Junior Alvarado-horse sustained L humeral fx- euthanized on track,Equine Death
2016,8/25/16,EQUINE DEATH,Saratoga Racecourse (NYRA),after 3rd fence,Racing,Thoroughbred,85* Cloudy,Bob Le Beau,ELIZABETH VOSS,JACK DOYLE,Bob Le Beau-Tr. Elizabeth Voss-pulled up-rider off-vanned off to Rood & Riddle-xrays revealed fx RR cannon bone-euthanized,Euthanasia
2009,4/10/09,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred, ,Midnight Slammer,DOMINIC G. GALLUSCIO, ,Midnight Slammer-Tr. Dominick Galluscio-Euthanasia-RF cannon bone fx, 
2009,4/17/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Training,Thoroughbred, ,Tin Cup Chalice,MICHAEL A. LECESSE, ,TIN CUP CHALICE-Tr. Michael Lecesse-euthanized after accident-failed hind quarters, 
2009,4/28/09,EQUINE DEATH,Belmont Park (NYRA),1mile 1/4,Training,Thoroughbred,Clear,Timberah,STEVEN M. ASMUSSEN, ,Timberah-Tr. Steven Asmussen-RF sesamoid fx-euthanasia, 
2009,5/31/09,EQUINE DEATH,Belmont Park (NYRA),Belmont barn 43,Training,Thoroughbred,Cloudy,Teapot Dome,MICHAEL E. HUSHION, ,Teapot Dome-Tr. Michael Hushion-CV collapse after breezing-died in stall,Equine Death
2009,6/13/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes Racetrack,Training,Thoroughbred, ,LILITH'S DREAM,JONATHAN B. BUCKLEY, ,Lilith's Dream- Tr. Jonathan Buckley-fx sesamoid RF limb-euthanized,Euthanasia
2009,5/3/09,EQUINE DEATH,Belmont Park (NYRA),3/4 Pole,Training,Thoroughbred,Cloudy,Not Ja Mama,KIARAN P. MC LAUGHLIN, ,Not Ja Mama-Tr. Kiaran McLaughlin-RF Cannon Bone Fx-Euthanasia,Death
2009,4/28/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Barn#1,Training,Thoroughbred,Clear,Mickeless,BOB G. DUNHAM, ,Mickeless-Tr. Bob Dunham-fx RF sesamoids-Euthanasia,Death
2009,6/9/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Training,Thoroughbred, ,A SONG FOR HOPE,RAFAEL G. ROHENA SR, ,A Song For Hope-Tr. Rafael Rohena  Sr.-sustained mid-body humeral fx during workout-euthanized,Euthanasia
2009,7/22/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,EVALUATOR,OSCAR S. BARRERA JR, ,Evaluator-Tr.Oscar Barrera  Jr.-LM sesamoid fx-euthanized,Euthanasia
2009,7/1/09,EQUINE DEATH,Belmont Park (NYRA),Barn 22,Training,Thoroughbred,Thunder Storms,Kentucky Bluebird,PATRICK J. KELLY, ,Kentucky Bluebird-Patrick Kelly-Found in stall reinjured LH condylar fx-euthanized,Euthanasia
2009,7/17/09,EQUINE DEATH,Belmont Park (NYRA),Main track,Training,Thoroughbred,Clear,Iron Curtain,STEVE N. KLESARIS, ,Iron Curtain-Tr. Steve Klesaris-Fx both F sesamoids-Euthanized,Euthanasia
2009,7/21/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,FIRE WAGON,GLENROY B. BROWN, ,Fire Wagon-Tr. Glenroy Brown-Fx L 3rd carpal bone-euthanized,Euthanasia
2009,7/8/09,EQUINE DEATH,Belmont Park (NYRA),Barn #15,Training,Thoroughbred,Sunny,Kid Hendrix,FRANK MARTIN, ,Kid Hendrix-Tr. Frank Martin-LF fx from 2008-unable to recover from injury-euthanized,Euthanasia
2009,7/9/09,EQUINE DEATH,Belmont Park (NYRA),Training track,Training,Thoroughbred,Clear,Graceful Pose,PHILIP M. SERPE, ,Graceful Pose-Tr. Philip Serpe-RF cannon bone fx-euthanized,Euthanasia
2009,7/14/09,EQUINE DEATH,Saratoga Racecourse (NYRA),Saratoga Training Track,Training,Thoroughbred,Clear,Aqueous,WILLIAM T. PHIPPS, ,Aqueous-Tr. William Phipps-Fx LFM sesamoid-Euthanized,Euthanasia
2009,7/25/09,EQUINE DEATH,Belmont Park (NYRA),Sixteength Pole,Training,Thoroughbred,Clear,Ramblin Boy,NICHOLAS P. ZITO, ,Ramblin Boy-Tr. Nick Zito-LF leg fx-euthanized,Equine Death
2009,10/12/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,SINALLY,BETH M. SAUL, ,Sinally-Tr. Beth M. Saul-LF suspensory tear-euthanized,Euthanasia
2009,9/16/09,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred,Cloudy,Dolche Destiny,PETER J. DALY, ,Dolche Destiny-Tr. Peter Daly-fx RF sesamoids-euthanized,Euthanasia
2009,9/10/09,EQUINE DEATH,Belmont Park (NYRA),Ruffian Horse Hospital,Training,Thoroughbred,Clear,Hoist The Gala,JOSEPH D. IMPERIO, ,Hoist The Gala-Tr. Joseph Imperio-reinjured surgically repaired RF condylar fx-euthanized,Euthanasia
2009,8/24/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,KRISBALADY,MICHAEL S. FERRARO, ,Krisbalady-Tr. Michael Ferraro-fx LH ankle-euthanized,Euthanasia
2009,7/24/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,THAT'S A GIVEN,CHRISTOPHER J. ENGLEHART, ,That's a Given-Tr. Christopher Englehart-Fx RFM sesamoid-euthanized,Euthanasia
2009,8/4/09,EQUINE DEATH,Saratoga Racecourse (NYRA),1 mile pole main track,Training,Thoroughbred,Clear,Finally Made it,TIMOTHY S. RITVO, ,Finally Made It-Tr. Tim Ritvo-Fx LF cannon bone-euthanized,Equine Death
2009,9/1/09,EQUINE DEATH,Belmont Park (NYRA),Main track,Training,Thoroughbred,Clear,Karrie the Magic,BRUCE R. BROWN, ,Karrie the Magic-Tr. Bruce Brown-fx left shoulder & RF leg-euthanized,Euthanasia
2009,8/4/09,EQUINE DEATH,Belmont Park (NYRA),Barn area,Training,Thoroughbred,Clear,Joe Bravo,PAULO H. LOBO, ,Joe Bravo-Tr. Paulo Lobo-horse reared-unseated rider-fell & fx neck-euthanized,Equine Death
2009,8/13/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,BABY THINKER,RAFAEL G. ROHENA SR, ,Baby Thinker-Tr. Rafael Rohena  Sr.-R knee fx-euthanized,Euthanasia
2010,3/4/10,EQUINE DEATH,Belmont Park (NYRA),Training Track,Training,Thoroughbred,Cloudy,One Seat Empty,JAMES T. RYERSON, ,One Seat Empty-Tr. James Ryerson-fx RF cannon bone-,Euthanasia
2010,1/29/10,EQUINE DEATH,Belmont Park (NYRA),3/8 pole - Training Track,Training,Thoroughbred,Clear,Alicias Butterfly,OLIVER P. HOSANG JR, ,Alicias Butterfly-Tr. Oliver Hosang-fx LF cannon bone-euthanized,Euthanasia
2010,5/11/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,ROYAL IRISH PRIZE,CHARLTON A. BAKER, ,Royal Irish Prize-Tr. Charlton Baker-flipped at starting gate-suffered severe head trauma & died,Equine Death
2010,4/2/10,EQUINE DEATH,Belmont Park (NYRA),Half mile pole,Training,Thoroughbred,57* Clear,Merit Badge,JACQUELINE L. FALK, ,Merit Badge-Tr. Jacqueline Falk-fx L Humerus while breezing-euthanized,Euthanasia
2010,5/20/10,EQUINE DEATH,Belmont Park (NYRA),One mile & 3/8,Training,Thoroughbred,Clear 65*,Edashor,PAULINO O. ORTIZ, ,Edashor-Tr. Paulino Ortiz-fx R humerus-euthanized,Euthanasia
2010,5/17/10,EQUINE DEATH,Belmont Park (NYRA),Training,Training,Thoroughbred,Cloudy 74*,Galento,SCOTT M. SCHWARTZ, ,Galento-Tr. Scott Schwartz-fx RH cannon bone-euthanized 2 days later,Euthanasia
2010,5/1/10,EQUINE DEATH,Belmont Park (NYRA),1/16 pole training track,Training,Thoroughbred,Clear 75*,U S Calvary,GREGORY J. DIPRIMA, ,U S Calvalry-Tr. Gregory DiPrima-R carpal slab fx-euthanized,Euthanasia
2010,1/24/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),5/8 pole,Training,Thoroughbred, Clear,Point to Royalty,JOHN P. CAMPO JR, ,Point to Royalty-Tr. John Campo Jr.-fx LF leg-euthanized,Euthanasia
2010,1/8/10,EQUINE DEATH,Belmont Park (NYRA),Belmont amtraining,Training,Thoroughbred,Cloudy,Marly My Way,ROY SEDLACEK, ,Marly My Way-Tr. Roy Sedlacek-collapsed and died of apparent VC collapse,Equine Death
2010,6/17/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Training Track,Training,Thoroughbred,78* Clear,Dreams of Tomorrow,GARY C. CONTESSA, ,Dreams of Tomorrow-Tr. Gary Contessa-fx both L&RF sesamoids-euthanized 3 days later,Euthanasia
2010,2/3/10,EQUINE DEATH,Belmont Park (NYRA),7/8 pole-Belmont Trg.Tr.,Training,Thoroughbred,Cloudy,Pegasian,CARLOS F. MARTIN, ,Pegasian-Tr. Carlos Martin-fx RH cannon bone-euthanized,Euthanasia
2010,2/17/10,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,China Wavered,BRUCE N. LEVINE, ,China Wavered-Tr. Bruce Levine-fx L tibia-euthanized,Euthanasia
2010,1/25/10,EQUINE DEATH,Belmont Park (NYRA),Finish line -Training Track,Training,Thoroughbred,Cloudy,Golden Boychick,BRUCE N. LEVINE, ,Golden Boychick-Tr. Bruce Levine-fx LH cannon bone-euthanized 2 days later,Euthanasia
2009,10/30/09,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,Cloudy,Seattle Boss,JOHN PARISELLA, ,Seattle Boss-Tr. John Parisella-fx RF comminuted-euthanaized,Euthanasia
2010,3/11/10,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,50's  clear,Iubiredecatel,JAMES G. KETTELL, ,Iubiredecatel-Tr. James Kettell-fx RF humerus-euthanized,Euthanasia
2009,10/21/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Barn area,Training,Thoroughbred,Clear,Jettadorable,RICHARD M. DEMOLA, ,Jettadorable-Tr. Richard Demola-fx both hind legs-euthanized,Euthanasia
2010,2/13/10,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,Clear,Client Eight,KARL M. GRUSMARK, ,Client Eight-Tr. Karl Grusmark-fx LFM sesamoid while training-euthanized,Euthanasia
2010,4/23/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Barn # 7,Training,Thoroughbred,65 degrees  Sunny,Air Space,RICHARD A. VIOLETTE JR, ,Air Space Euthenized,Euthanasia
2009,12/15/09,EQUINE DEATH,Belmont Park (NYRA),3/16 pole - Training track,Training,Thoroughbred, ,American Veteran,TIMOTHY A. HILLS, ,American Veteran-Tr. Timothy Hills-Fx both RF sesamoids-euthanized,Euthanasia
2010,3/11/10,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,50's  clear,Share the Moment,BERNARDO J. CALLEJAS, ,Share the Moment-Tr. Bernardo Callejas-fx LF cannon bone & sesamoids-euthanized,Euthanasia
2010,2/20/10,EQUINE DEATH,Belmont Park (NYRA),Bel. Training Track,Training,Thoroughbred,Cloudy,Whirling Agatha,BERNARDO J. CALLEJAS, ,Whirling Agatha-Tr. Bernardo Callejas-collided with another horse while breezing   broke neck and was euthanized.,Euthanasia
2010,5/15/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Training Track,Training,Thoroughbred, ,DRIVEN BY SAARLAND,JEREMIAH C. ENGLEHART, ,Driven by Saarland-Tr. Jeremiah Englehart-sustained mid-body fx both RF sesamoids during workout-euthanized,Euthanasia
2010,3/7/10,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,Value Proposition,PATRICK J. KELLY, ,Value Propostion-Tr. Patrick Kelly-fx LF tibia-euthanized,Euthanasia
2010,1/20/10,EQUINE DEATH,Belmont Park (NYRA),Trg. Track - 1/8 pole,Training,Thoroughbred,Clear,One Brave Cat,EDWARD LOTRUGLIO, ,One Brave Cat-Tr. Edward Lotruglio-fx LH cannon bone while breezing-euthanized,Euthanasia
2010,4/2/10,EQUINE DEATH,Belmont Park (NYRA),barn 12A,Training,Thoroughbred, ,Chicktowaga,MELVIN C. WINNEY, ,Chicktowaga-Tr. Melvin Winney-slipped in training-possible fx pelvis-later found dead in stall,Equine Death
2010,1/21/10,EQUINE DEATH,Belmont Park (NYRA),Barn 61 @ Belmont,Training,Thoroughbred, ,Duke of de Buqe,PETER A. CHIN, ,Duke of de Buqe-Tr. Peter Chin-threw mount & fell back hitting head-apparent skull fracture-euthanized,Euthanasia
2010,5/21/10,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,65* clear,Lets Fly Away,RAMON M. HERNANDEZ, ,Lets Fly Away-Tr. Ramon Hernandez-fx both RF sesamoids-euthanized,Euthanasia
2010,4/24/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Barn 2,Training,Thoroughbred,Clear 70*,Solar Flare,ANTHONY W. DUTROW, ,Solar Flare-Tr. Anthony Dutrow-shattered both RF sesamoids-euthanized,Euthanasia
2010,5/7/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Finish line,Training,Thoroughbred,70* Clear,Break Water Edison,RICHARD E. DUTROW JR, ,Break Water Edison-Tr. Richard Dutrow-fx R humerus-euthanized,Euthanasia
2010,2/18/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Training track am,Training,Thoroughbred,Fast,Tutor,RICHARD E. DUTROW JR, ,Tutor-Tr. Richard Dutrow-severe distress-collapsed-CV Collapse-euthanized,Euthanasia
2010,5/1/10,EQUINE DEATH,Belmont Park (NYRA),Stall or barn,Training,Thoroughbred,Clear,Never Dream,JAMES J. TONER, ,Never Dream-Tr. James Toner-post-op complications causing colitis-euthanized,Euthanasia
2010,4/11/10,EQUINE DEATH,Belmont Park (NYRA),3/8 pole training track,Training,Thoroughbred, ,Sao Sebah,PAULO H. LOBO, ,Sao Sebah-Tr. Paulo Lobo-fx both LF sesamoids-euthanized next day,Euthanasia
2010,9/21/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Workout,Training,Thoroughbred, ,CE CE CECILIA,EDWARD J. BABCOCK, ,CE CE CECILIA-Tr. Edward Babcock-Fx RF Sesamoid-euthanized,Euthanasia
2011,1/15/11,EQUINE DEATH,Belmont Park (NYRA),Finish Line,Training,Thoroughbred,Cloudy 22*,Tobago,OLIVER P. HOSANG JR, ,Tobago-Tr. Oliver Hosang-fx LH cannon bone-euthanized,Euthanasia
2011,5/18/11,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,60* Showers,Schillers Thriller,JAMES A. JERKENS, ,Schillers Thriller-Tr. James Jerkens-fx RF ankle-euthanized,Euthanasia
2010,8/26/10,EQUINE DEATH,Saratoga Racecourse (NYRA),Oklahoma Backstretch,Training,Thoroughbred,Windy 72*,Kastraki,JAMES A. JERKENS, ,Kastraki-Tr. James Jerkins-Got loose during training-fell-fx LH cannon bone-euthanized,Euthanasia
2011,4/22/11,EQUINE DEATH,Belmont Park (NYRA),3/16 pole,Training,Thoroughbred,43* Cloudy,Citifiesta,JOHN O. HERTLER, ,Citifesta-T.John Hertler-Fx LF sesamoids-euthanized,Euthanasia
2011,3/19/11,EQUINE DEATH,Belmont Park (NYRA),3/8 Pole,Training,Thoroughbred,Windy 45*,Skrzats Majesty,HAROLD (JAMES) J. BOND,JULIO C. SALAS,Skrzats Majesty-Tr. H. James Bond-fx LF leg-euthanized,Euthanasia
2011,7/14/11,EQUINE DEATH,Belmont Park (NYRA),Main Track,Training,Thoroughbred,75* Clear,Make My Day Karen,WILLIAM BADGETT JR, ,Make My Day Karen-Tr. William Badgett-fx LF knee-euthanized,Euthanasia
2010,9/2/10,EQUINE DEATH,Saratoga Racecourse (NYRA),Finished race/ pulled up lame,Training,Thoroughbred,Clear 86*,Jazzy Johann,WILLIAM BADGETT JR, ,Jazzy Johann-Tr. William Badgett  Jr.-Fx LF sesamoid-euthanized,Euthanasia
2010,10/10/10,EQUINE DEATH,Belmont Park (NYRA),Finish Line,Training,Thoroughbred,55* Clear,Fair City Man,WILLIAM BADGETT JR, ,Fair City Man-Tr. William Badgett Jr.-Fx RF sesamoid-euthanized,Euthanasia
2011,7/16/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Training,Thoroughbred, ,ALL ABOUT THE DREAM,JAMES S. ACQUILANO, ,All About the Dream-Tr. James Acquilano-fx both LF sesamoids-euthanized,Euthanasia
2010,6/26/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Training,Thoroughbred, ,POLISH BREAK,DEBRA A. BREED, ,Polish Break-Tr. Debra Breed-fx R carpal bone-euthanized a day later,Euthanasia
2010,10/2/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 Pole,Training,Thoroughbred, ,PUNT'S KITTY,PAUL W. BARROW,PAUL A. NICOL JR,Punt's Kitty-Tr. Paul Barrow-Fx RF Cannon Bone-Euthanized,Euthanasia
2011,7/6/11,EQUINE DEATH,Belmont Park (NYRA),Training-After Finish,Training,Thoroughbred,Clear,Fayetta,CARLOS F. MARTIN, ,Fayetta-Tr. Carlos Martin-struck by a loose horse-suffered fx neck-euthanized,Euthanasia
2010,11/14/10,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,50* Clear,Buddys Saint,BRUCE N. LEVINE, ,Buddys Saint-Tr. Bruce Levine-Fx L humerous-euthanized,Euthanasia
2010,10/17/10,EQUINE DEATH,Belmont Park (NYRA),"1/4 Pole, Main Track",Training,Thoroughbred,Clear 50*,Road to Graceland,ANGEL A. PENNA JR, ,Road to Graceland-Tr. Angel Penna Jr-Fx RF sesamoids-euthanized,Euthanasia
2011,7/19/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Main Track,Training,Thoroughbred, ,MARKET DISTORTION,MICHAEL S. FERRARO, ,Market Distortion-Tr. Michael S. Ferraro-fx LF sesamoid -euthanized 1 month later,Euthanasia
2011,1/26/11,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,28* Cloudy,Parkheronbroadway,MICHAEL E. HUSHION, ,Parkheronbroadway-Tr. Michael Hushion-fx RF leg-euthanized,Euthanasia
2011,8/12/11,EQUINE DEATH,Saratoga Racecourse (NYRA),1/4 pole,Training,Thoroughbred,60* Clear,Not Now Ashley,JOHN PARISELLA, , Not Now Ashley-Tr. John Parisella-fx both LF sesamoids-euthanized,Euthanasia
2011,8/4/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,First Turn,Training,Thoroughbred, ,WORD TO THE WISE,CHRISTOPHER J. ENGLEHART, ,Word to the Wise-Tr. Christopher Englehart-reinjured surgically repaired RF Fetlock-euthanized 5 days later,Euthanasia
2011,8/22/11,EQUINE DEATH,Saratoga Racecourse (NYRA),Training Track,Training,Thoroughbred, ,Ericsformalreturn,CHRISTOPHER J. ENGLEHART, ,Ericsformalreturn-Tr. Christopher Englehart-fx LF knee-euthanized,Euthanasia
2011,3/30/11,EQUINE DEATH,Belmont Park (NYRA),Training Track,Training,Thoroughbred, ,Divi Divi,CHRISTOPHER J. ENGLEHART, ,Divi Divi-Tr.Chris Englehart-Fx RF Sesamoids-euthanized,Euthanasia
2010,9/19/10,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Training,Thoroughbred,708 clear,Atavistique,ROBERT J. RIBAUDO, ,Atavistiquie-Tr.Robert Ribaudo-Fx RF sesamoids-euthanized,Euthanasia
2011,8/9/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 Pole,Training,Thoroughbred, ,SAGES CONNIPTION,MICHAEL(ANTHONY) A. FERRARO, ,Sages Conniption-Tr. Michael Ferraro-collapsed on track & died-suspected CV collapse,Equine Death
2010,10/30/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Barn # 7,Training,Thoroughbred,56* Cloudy,Too Big to Fail,RICHARD A. VIOLETTE JR, ,Too Big to Fail-Tr. Richard Violette-Fx RH cannon bone-euthanized next day,Euthanasia
2011,1/23/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),Inner Track,Training,Thoroughbred,Windy 54*,New Pais,RICHARD A. VIOLETTE JR, ,New Pais-Tr. Richard Violtte  Jr.-fx both RF sesamoids-euthanized 1 month later,Euthanasia
2011,3/25/11,EQUINE DEATH,Belmont Park (NYRA),7/8 Pole,Training,Thoroughbred,Clear 25*,Team Plan,RODRIGO A. UBILLO,RODRIGO A. UBILLO,Team Plan-Tr. Rodrigo Ubillo-fx both LF sesamoids-euthanized,Euthanasia
2011,7/21/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Training Track,Training,Thoroughbred, ,BOB CHICA BON BON BON,JASON F. GILIFORTE, ,Bon Chica Bon Bon Bon-Tr. Jason Giliforte-fx R ankle-euthanized,Euthanasia
2011,7/26/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Workout-Main Track,Training,Thoroughbred, ,LIL MECKE,ARCADIO LOPEZ, ,CASE CLOSED-Lil Mecke-Tr. Arcadio Lopez-severe injury-RF limb-euthanized,Euthanasia
2011,3/6/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),Training Track,Training,Thoroughbred,Clear 50*,Flippys Legacy,DAVID P. DUGGAN, ,Flippys Legacy-Tr. David Duggan-sustained fx RF leg 6 weeks earlier-euthanized,Euthanasia
2011,7/9/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Training Track,Training,Thoroughbred, ,JIMMY VEGAS,JEREMIAH C. ENGLEHART, ,Jimmy Vegas-Tr. Jeremiah Englehart-fx R knee-euthanized 3 days later,Euthanasia
2011,8/23/11,EQUINE DEATH,Belmont Park (NYRA),TrainingTrack-3/8 pole,Training,Thoroughbred, ,Kensei,STEVEN M. ASMUSSEN, ,Kensei-Tr. Steven Asmussen - fx RF cannon bone-euthanized,Euthanasia
2010,8/9/10,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,Clear 83*,Edwards,STEVEN M. ASMUSSEN, ,Edwards-Tr. Steven Asmussen-Fx RF cannon bone/sesamoid-euthanized,Euthanasia
2010,7/31/10,EQUINE DEATH,Saratoga Racecourse (NYRA),Fnish Line,Training,Thoroughbred,Cloudy 83*,Giant Legacy,SETH P. BENZEL, ,Giant Legacy-Tr.Seth Benzel-Fx R Tibia-euthanized,Euthanasia
